"Game","Category","Time","Timing method","Date","Platform","Region/Version","Hardware/Emulator","Video URL"
"Bio FREAKS","Arcade (PS1)","2:55","RTA","2023-08-08",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/ICs_VTDUcLc"
"Bram Stoker's Dracula","Beat the Game - Easy","3:46.666","RTA","2018-08-10","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/NQbm32ToMMM"
"Bram Stoker's Dracula","Beat the Game - Easy","3:46.266","RTA","2019-04-05","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/UmgVI2uB6Qw"
"Bram Stoker's Dracula","Beat the Game - Easy","3:45.383","RTA","2019-04-10","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/YlZ1XX8gthE"
"Bram Stoker's Dracula","Beat the Game - Easy","3:43.400","RTA","2019-04-10","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/VMdFjOWc1J0"
"Bram Stoker's Dracula","Beat the Game - Easy","3:41.066","RTA","2020-12-06","Game Boy","NTSC-U/C","Gambatte Speedrun r717","https://youtu.be/Ek1LpVtU1pA"
"Bram Stoker's Dracula","Beat the Game (OOB) - Easy","1:12.700","RTA","2020-11-22","Game Boy","NTSC-U/C","Gambatte Speedrun r717","https://youtu.be/X6T7nQAwslw"
"Bram Stoker's Dracula","Beat the Game - Medium","9:14.233","RTA","2020-07-04","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/QI3Ap-mMDSw"
"Bram Stoker's Dracula","Beat the Game - Medium","8:59.966","RTA","2020-07-05","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/q9D1ivmrrTY"
"Bram Stoker's Dracula","Beat the Game - Medium","8:40.741","RTA","2020-07-12","Game Boy","NTSC-U/C","Gambatte Speedrun r717","https://youtu.be/1PyvEzIeoAc"
"Bram Stoker's Dracula","Beat the Game - Medium","8:37.391","RTA","2020-07-28","Game Boy","NTSC-U/C","Gambatte Speedrun r717","https://youtu.be/307Ds6jzZcQ"
"Bram Stoker's Dracula","Beat the Game - Medium","8:27.875","RTA","2020-07-30","Game Boy","NTSC-U/C","Gambatte Speedrun r717","https://youtu.be/cC0aa-1y2BA"
"Cardinal Syn","Tournament - No unlockable characters","5:34.258","RTA","2022-07-15",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/1OF045eC5RU"
"Cardinal Syn","Tournament - Unlockable characters","5:29.208","RTA","2022-07-16",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/40bB0-Nonno"
"Chocobo Racing","Story Mode","21:20","RTA (deprecated)","2018-07-11","PlayStation","NTSC-U/C","ePSXe 2.0.5","https://youtu.be/-Cs6ezNCjo8"
"Chocobo Racing","Story Mode","20:42","RTA (deprecated)","2018-07-14","PlayStation","NTSC-U/C","ePSXe 2.0.5","https://youtu.be/Eg_oGECRz6o"
"Chocobo Racing","Story Mode","15:40.780","IGT","2018-07-16","PlayStation","NTSC-U/C","ePSXe 2.0.5","https://youtu.be/u-oGzsANNHU"
"Dead Cells","Any% Warpless","11:27","IGT","2019-03-30",PC,"?","","https://youtu.be/TWNKK8jE__g"
"Dead Cells","Any% Warpless","10:42","IGT","2019-01-20",PC,"?","","https://youtu.be/7J8bW9koXtQ"
"Dead Cells","Any% Warpless","10:09","IGT","2019-03-31",PC,"?","","https://youtu.be/QgYObdDdq4s"
"Dead Cells","Any% Warpless","9:42","IGT","2019-01-23",PC,"?","","https://youtu.be/0IKWyHHGZWw"
"Dead Cells","Any% Warpless","9:34","IGT","2019-04-07",PC,"?","","https://youtu.be/JNVsWaOvEV0"
"Dead Cells","Any% Warpless","9:32","IGT","2019-07-10",PC,"?","","https://youtu.be/svpKcFbTVdU"
"Dead Cells","Any% Warpless","9:23","IGT","2019-07-16",PC,"?","","https://youtu.be/1Cgvunpt5P0"
"Dead Cells","Any% Warpless","9:13","IGT","2019-08-18",PC,"?","","https://youtu.be/10u5yWJgJuE"
"Dead Cells","Any% Warpless","8:12","IGT","2019-06-08",PC,"?","","https://youtu.be/GcGZclfYDyY"
"Destrega","1P Battle","1:39.940","IGT","2022-06-24",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/w51LPms-Wgw"
"Destrega","Story - Easy","22:30","RTA","2021-11-14",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/EXp0K-ad7ic"
"Destrega","Story - Easy","21:57","RTA","2021-11-14",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/e9QNKSch7PQ"
"Destrega","Story - Easy","21:16","RTA","2021-12-08",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/q7lhSHiA1q0"
"Destrega","Story - Medium","28:49","RTA","2021-11-20",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/M6XR2Iggf9k"
"Destrega","Time Attack","1:27.37","IGT","2021-12-09",PlayStation,"NTSC-J","SCPH-90000","https://youtu.be/wELlZgz59Dw"
"DuckTales","Any% Easy","10:03","RTA","2017-08-26","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/Br2owu7_P1g"
"DuckTales","Any% Easy","9:56","RTA","2017-09-07","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/gSviXNDT2tA"
"DuckTales","Any% Easy","9:48","RTA","2018-07-02","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/YSRfvrDHa-c"
"DuckTales","Any% Easy","9:46","RTA","2018-08-11","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/eg5FH7xYJDU"
"DuckTales","Any% Easy","9:40","RTA","2019-03-10","Game Boy","NTSC-J","Gambatte","https://youtu.be/JbTIz3sEk3g"
"Evil Zone","Story Mode - Easy","5:58","RTA","2023-08-07",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/RY728T5RFxs"
"Excalibur 2555 A.D.","Any% (Console)","1:26:22","RTA","2023-01-04",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/XsqXU3MTdVM"
"Excalibur 2555 A.D.","Any% (Console)","1:16:45","RTA","2023-01-05",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/bee-3n273wE"
"Excalibur 2555 A.D.","Any% (Console)","1:13:42","RTA","2023-01-06",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/k9b2SB7DbYs"
"Hades","Any Heat - Unseeded, v1.0, Unmodded, Demeter","12:02","IGT","2020-10-10","PC","v1.0","","https://youtu.be/Ox7ldxmESnk"
"Hades","Any Heat - Unseeded, v1.0, Unmodded, Demeter","11:32","IGT","2020-10-13","PC","v1.0","","https://youtu.be/jnYK53CaY0A"
"Hades","Any Heat - Unseeded, v1.0, Unmodded, Demeter","10:49","IGT","2020-10-18","PC","v1.0","","https://youtu.be/zVrQ70UyG6Q"
"Hades","Any Heat - Unseeded, v1.0, Unmodded, Demeter","10:35","IGT","2020-10-23","PC","v1.0","","https://youtu.be/gR-VRW61quU"
"Hades","Any Heat - Unseeded, v1.0, Unmodded, Demeter","9:36","IGT","2020-11-01","PC","v1.0","","https://youtu.be/g6h1FucW1wo"
"Infected","Any% - Emulator","1:58:49","RTA","2021-06-01","PSP","NTSC-U/C","PPSSPP 1.11","https://youtu.be/fXZAAjH07wM"
"Iron & Blood: Warrios of Ravenloft","Head to Head","5:01.091","RTA","2022-03-14","PlayStation","NTSC-U/C","SCPH-90001","https://youtu.be/h-DP6VPlE7A"
"Jungle Hunt","Any%","2:44.210","RTA","2018-07-21","Atari 2600","NTSC-U/C","Stella","https://youtu.be/Uxpj0_MGxWQ"
"Jungle Hunt","Any%","2:36.380","RTA","2018-07-27","Atari 2600","NTSC-U/C","Stella","https://youtu.be/WSsQNbfSs_k"
"Kirby's Dream Land","Normal Mode","13:36","RTA","2017-09-12","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/OuoVa_8QcP4"
"Kirby's Dream Land","Normal Mode","13:05","RTA","2018-07-15","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/oqTUHNQ6IdQ"
"Kirby's Dream Land","Normal Mode","12:53","RTA","2018-08-15","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/H0V-hMyq5Qo"
"Kirby's Dream Land","Normal Mode","12:38","RTA","2018-08-18","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/glV--Lq3IEQ"
"Kirby's Dream Land","Normal Mode","12:22","RTA","2018-08-19","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/-VIyvzk_aB4"
"Kirby's Dream Land","Normal Mode","12:12","RTA","2018-08-22","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/iIzjBH25ztg"
"Kwirk","Going up - Easy","2:02.540","RTA","2018-08-06","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/bnZmq9DbRKQ"
"Kwirk","Heading out 10 RMS - Easy","1:31","IGT","2017-11-11","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/voy3QzeaKMA"
"Kwirk","Heading out 10 RMS - Easy","1:28","IGT","2017-11-12","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/Gtt8f9JC-3I"
"Kwirk","Heading out 10 RMS - Easy","1:25","IGT","2018-08-15","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/dkcPeqgBQHQ"
"Kwirk","Heading out 99 RMS - Easy","21:23","IGT","2017-10-03","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/Oly5E8khrQY"
"Kwirk","Heading out 99 RMS - Easy","20:09","IGT","2017-10-05","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/EoKW39v0aco"
"Kwirk","Heading out 99 RMS - Easy","19:40","IGT","2017-10-07","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/UnuY0K9iSQE"
"Kwirk","Heading out 99 RMS - Easy","18:39","IGT","2017-10-07","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/l1PoWMoAgrI"
"Kwirk","Heading out 99 RMS - Easy","18:13","IGT","2017-10-17","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/XkIR0PjXwHY"
"Kwirk","Heading out 99 RMS - Easy","17:08","IGT","2017-10-18","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/eJv3u4mG4uw"
"Kwirk","Heading out 99 RMS - Easy","16:58","IGT","2017-10-29","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/dulH2ak84hM"
"Kwirk","Heading out 99 RMS - Easy","16:38","IGT","2017-11-02","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/d5_3MO-6uT8"
"Kwirk","Heading out 99 RMS - Easy","16:19","IGT","2017-11-03","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/oD6cwdsZDO4"
"Kwirk","Heading out 99 RMS - Easy","16:08","IGT","2017-11-06","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/r8FN0S_PTOk"
"Kwirk","Heading out 99 RMS - Easy","15:55","IGT","2017-11-19","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/0sSRMNbpGSU"
"Kwirk","Heading out 99 RMS - Easy","15:45","IGT","2018-04-15","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/UYk0b16BaKc"
"Kwirk","Heading out 99 RMS - Easy","15:44","IGT","2018-04-21","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/opKCkGTt6h0"
"Kwirk","Heading out 99 RMS - Easy","15:34","IGT","2018-07-31","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/UvDcEzWh0HY"
"Kwirk","Heading out 99 RMS - Easy","15:28","IGT","2018-08-04","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/eWxSH0QlOA4"
"Kwirk","Heading out 99 RMS - Easy","15:24","IGT","2018-08-15","Game Boy","NTSC-U/C","Gambatte","https://youtu.be/p7QFpsrjXnk"
"MDK","Any% (PS1)","1:07:02","RTA","2022-07-27",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/3W6bYu8VJeE"
"MDK","Any% (PS1)","1:01:14","RTA","2022-07-27",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/MGCmYwzHOUA"
"MDK","Any% (PS1)","57:46","RTA","2022-07-28",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/g5JJhpEwb8Q"
"MDK","Any% (PS1)","50:45","RTA","2022-07-31",PlayStation,"NTSC-U/C","SCPH-90001","https://youtu.be/a0Wo1N1X-MU"
